t;"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";GW[0] Received RSSI (position=240,240);GW[1] Received RSSI (position=200,140);"SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)"
96721.84375617063;65;none;none;10;2;360.68087126354;322.57700356978;1.8314607268804
96777.68365781439;66;none;none;10;2;340.15720503362;375.12803787548;1.8757290043563
96845.60287904093;67;none;none;10;2;315.19384754165;439.04694209317;1.9295734210314
96897.78727833298;68;none;none;10;2;299.85519130551;427.64531584107;1.7371005179863
96967.58440611088;69;-132.48964994085;none;10;2;287.71661879838;311.0002196298;1.2075498977863
97146.84771967523;70;none;-131.60639243099;10;2;272.01612812173;112.12401357356;1.4226247919506
97205.90184431299;71;-128.88343691063;-128.64055361312;10;2;209.65270465418;193.23520717657;1.4430009425238
97338.1663855633;72;-126.82521702631;none;10;2;237.26022921099;282.87907268152;1.4894409647155
97501.02811478089;73;none;none;10;2;445.88796831251;287.13603160742;1.7852963233861
97595.2436136103;74;none;none;10;2;441.20947346045;162.20752257554;1.3521589602939
97706.56652730648;75;-129.45795317782;none;10;2;298.19300516134;226.49058264726;1.2486520987019
97767.1403821676;76;-124.10997156719;none;10;2;220.37381676727;261.46876118686;1.1923311724609
97942.20131624321;77;none;none;10;2;15.254910913338;360.25943346171;1.0493423119628
98001.55143579094;78;none;none;10;2;121.22922550573;373.36546871649;1.1763730447805
98069.32347070822;79;none;none;10;2;242.24153354522;388.33127983335;1.3214297241216
98183.53604829614;80;none;none;10;2;446.17708952965;413.55235907992;1.565885970184
98369.38606549392;81;none;none;10;2;115.05855274016;460.25396331009;1.5931342245806
